date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:24:56	478/478	---MCZ	200	added ('OK')	text/plain	etag:cacheable:4092a25bf31fc88ca02ff5fb2f7058d2	https://www.lucashugh.com/robots.txt		(from )
21:24:57	108670/108670	---MCZ	200	added ('OK')	text/html	etag:cacheable:5e2d81c5b7cec55ca49e28990ec4874f	https://www.lucashugh.com/	C:/website%20httrack/https___www.lucashugh.com_/www.lucashugh.com/index.html	(from )
21:24:58	318834/318834	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20May%202022%2001:50:28%20GMT	https://cdn.shopify.com/s/files/1/0030/0158/1668/files/366A9058-Edit-Edit_1800x.jpg?v=1623925725	C:/website%20httrack/https___www.lucashugh.com_/cdn.shopify.com/s/files/1/0030/0158/1668/files/366A9058-Edit-Edit_1800x0f1f.jpg	(from https://www.lucashugh.com/)
21:24:58	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2022%20May%202022%2014:25:00%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/website%20httrack/https___www.lucashugh.com_/www.googletagmanager.com/gtm.15445.delayed	(from https://www.lucashugh.com/)
21:25:00	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2022%20May%202022%2014:25:00%20GMT	http://cdn.shopify.com/s/files/1/0030/0158/1668/files/LH-Fav-2_32x32.png?v=1551820894	C:/website%20httrack/https___www.lucashugh.com_/cdn.shopify.com/s/files/1/0030/0158/1668/files/LH-Fav-2_32x32.23ff7.delayed	(from https://www.lucashugh.com/)
21:25:00	1357/1357	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Apr%202022%2005:02:46%20GMT	https://cdn.shopify.com/s/files/1/0030/0158/1668/files/LH-Fav-2_32x32.png?v=1551820894	C:/website%20httrack/https___www.lucashugh.com_/cdn.shopify.com/s/files/1/0030/0158/1668/files/LH-Fav-2_32x323ff7.png	(from https://www.lucashugh.com/)
21:25:00	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2022%20May%202022%2014:25:02%20GMT	http://cdn.shopify.com/s/files/1/0030/0158/1668/t/38/assets/layout.theme.css?v=153538979352886715771626866098	C:/website%20httrack/https___www.lucashugh.com_/cdn.shopify.com/s/files/1/0030/0158/1668/t/38/assets/layout.theme0a12.css	(from https://www.lucashugh.com/)
21:25:01	109115/109115	---MCZ	200	added ('OK')	text/css	date:Mon,%2002%20May%202022%2020:09:22%20GMT	https://cdn.shopify.com/s/files/1/0030/0158/1668/t/38/assets/layout.theme.css?v=153538979352886715771626866098	C:/website%20httrack/https___www.lucashugh.com_/cdn.shopify.com/s/files/1/0030/0158/1668/t/38/assets/layout.theme0a12.css	(from https://www.lucashugh.com/)
21:25:02	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2022%20May%202022%2014:25:03%20GMT	http://cdn.shopify.com/s/files/1/0030/0158/1668/t/38/assets/layout.theme.styleLiquid.scss.css?v=21876408720456164291626866098	C:/website%20httrack/https___www.lucashugh.com_/cdn.shopify.com/s/files/1/0030/0158/1668/t/38/assets/layout.theme.styleLiquid.scss6409.css	(from https://www.lucashugh.com/)
21:25:02	1473/1473	---MCZ	200	added ('OK')	text/css	date:Mon,%2002%20May%202022%2020:09:22%20GMT	https://cdn.shopify.com/s/files/1/0030/0158/1668/t/38/assets/layout.theme.styleLiquid.scss.css?v=21876408720456164291626866098	C:/website%20httrack/https___www.lucashugh.com_/cdn.shopify.com/s/files/1/0030/0158/1668/t/38/assets/layout.theme.styleLiquid.scss6409.css	(from https://www.lucashugh.com/)
